abandon,放弃,/əˈbændən/
abide,遵守,/əˈbaɪd/
ability,能力,/əˈbɪləti/
able,能干的,/ˈeɪbl/
abnormal,不正常的,/æbˈnɔ:ml/
abolish,废除,/əˈbɒlɪʃ/
abroad,到国外,/əˈbrɔ:d/
absence,缺席,/ˈæbsəns/
absent,缺席的,/ˈæbsənt/
absolute,绝对的,/ˈæbsəlu:t/
absorb,吸收,/əbˈsɔ:b/
abstract,抽象的，理论上的,/ˈæbstrækt/
academic,学术的,/ˌækəˈdemɪk/
academy,学院,/əˈkædəmi/
accelerate,加速,/əkˈseləreɪt/
accept,接受,/əkˈsept/
acceptance,认可,/əkˈseptəns/
access,进入,/ˈækses/
accessory,配件,/əkˈsesəri/
acclaim,称赞,/əˈkleɪm/
accommodate,适应,/əˈkɒmədeɪt/
accommodation,住处,/əˌkɒməˈdeɪʃn/
accompany,陪伴,/əˈkʌmpəni/
accomplish,完成,/əˈkʌmplɪʃ/
account,解释,/əˈkaʊnt/
accountant,会计师,/əˈkaʊntənt/
accumulate,积累,/əˈkju:mjəleɪt/
accuracy,精确度,/ˈækjərəsi/
accurate,准确的,/ˈækjərət/
accuse,指责,/əˈkju:z/
achieve,实现,/əˈtʃi:v/
acknowledge,承认,/əkˈnɒlɪdʒ/
acquire,获得,/əˈkwaɪə(r)/
acquisition,采集,/ˌækwɪˈzɪʃn/
act,行为,/ækt/
action,行为,/ˈækʃn/
activate,激活,/ˈæktɪveɪt/
active,活跃的,/ˈæktɪv/
activity,活动,/ækˈtɪvəti/
actual,实际的,/ˈæktʃuəl/
acute,严重的,/əˈkju:t/
adapt,适应,/əˈdæpt/
add,加,/æd/
addict,上瘾者,/ˈædɪkt/
addition,加法,/əˈdɪʃn/
additional,额外的,/əˈdɪʃənl/
address,讲话,/əˈdres/
adequate,足够的,/ˈædɪkwət/
adjoin,毗连,/əˈdʒɔɪn/
adjust,调整,/əˈdʒʌst/
administration,管理,/ədˌmɪnɪˈstreɪʃn/
admire,钦佩,/ədˈmaɪə(r)/
admission,承认,/ədˈmɪʃn/
admit,承认,/ədˈmɪt/
adopt,采用,/əˈdɒpt/
adult,成年人,/ˈædʌlt/
advance,进展,/ədˈvɑ:ns/
advanced,先进的,/ədˈvɑ:nst/
advantage,优势,/ədˈvɑ:ntɪdʒ/
advice,建议,/ədˈvaɪs/
advisable,明智的,/ədˈvaɪzəbl/
advise,建议,/ədˈvaɪz/
advocate,提倡,/ˈædvəkeɪt/
aesthetic,审美的,/i:sˈθetɪk/
affair,事情,/əˈfeə(r)/
affect,影响,/əˈfekt/
affection,感情,/əˈfekʃn/
affiliate,分公司,/əˈfɪlieɪt/
affirm,肯定,/əˈfɜ:m/
afford,提供,/əˈfɔ:d/
aggravate,恶化,/ˈægrəveɪt/
